2025-10-06 21:56:00 | Device: HR_Monitor_1 | Heart Rate: 102 bpm
2025-10-06 21:56:02 | Device: HR_Monitor_2 | Heart Rate: 96 bpm
2025-10-06 21:56:04 | Device: HR_Monitor_1 | Heart Rate: 105 bpm
2025-10-06 21:56:06 | Device: HR_Monitor_2 | Heart Rate: 98 bpm
2025-10-06 21:56:08 | Device: HR_Monitor_1 | Heart Rate: 57 bpm
2025-10-06 21:56:10 | Device: HR_Monitor_2 | Heart Rate: 63 bpm
2025-10-06 21:56:12 | Device: HR_Monitor_1 | Heart Rate: 69 bpm
2025-10-06 21:56:14 | Device: HR_Monitor_2 | Heart Rate: 83 bpm
2025-10-06 21:56:16 | Device: HR_Monitor_1 | Heart Rate: 64 bpm
2025-10-06 21:56:18 | Device: HR_Monitor_2 | Heart Rate: 91 bpm
2025-10-06 21:56:20 | Device: HR_Monitor_1 | Heart Rate: 88 bpm
2025-10-06 21:56:22 | Device: HR_Monitor_2 | Heart Rate: 78 bpm
2025-10-06 21:56:24 | Device: HR_Monitor_1 | Heart Rate: 96 bpm
2025-10-06 21:56:26 | Device: HR_Monitor_2 | Heart Rate: 64 bpm
2025-10-06 21:56:28 | Device: HR_Monitor_1 | Heart Rate: 62 bpm
2025-10-06 21:56:30 | Device: HR_Monitor_2 | Heart Rate: 68 bpm
2025-10-06 21:56:32 | Device: HR_Monitor_1 | Heart Rate: 55 bpm
2025-10-06 21:56:34 | Device: HR_Monitor_2 | Heart Rate: 64 bpm
2025-10-06 21:56:36 | Device: HR_Monitor_1 | Heart Rate: 78 bpm
2025-10-06 21:56:38 | Device: HR_Monitor_2 | Heart Rate: 95 bpm
2025-10-06 21:56:40 | Device: HR_Monitor_1 | Heart Rate: 88 bpm
2025-10-06 21:56:42 | Device: HR_Monitor_2 | Heart Rate: 83 bpm
2025-10-06 21:56:44 | Device: HR_Monitor_1 | Heart Rate: 103 bpm
2025-10-06 21:56:46 | Device: HR_Monitor_2 | Heart Rate: 72 bpm
2025-10-06 21:56:48 | Device: HR_Monitor_1 | Heart Rate: 103 bpm
2025-10-06 21:56:50 | Device: HR_Monitor_2 | Heart Rate: 86 bpm
2025-10-06 21:56:52 | Device: HR_Monitor_1 | Heart Rate: 58 bpm
2025-10-06 21:56:54 | Device: HR_Monitor_2 | Heart Rate: 71 bpm
2025-10-06 21:56:56 | Device: HR_Monitor_1 | Heart Rate: 56 bpm
2025-10-06 21:56:58 | Device: HR_Monitor_2 | Heart Rate: 60 bpm
2025-10-06 21:57:00 | Device: HR_Monitor_1 | Heart Rate: 56 bpm
2025-10-06 21:57:02 | Device: HR_Monitor_2 | Heart Rate: 72 bpm
